[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.2
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 38173（GAT 分支 11537，lr x0.2）
epoch  300 | train_nll -1.30075 | train_fsce 0.49087 | val_dev 0.71274 | expl_dev 0.51806 | gat_gain +0.03201 | alpha 0.2000 *
epoch  305 | train_nll -1.29397 | train_fsce 0.48919 | val_dev 0.70555 | expl_dev 0.52292 | gat_gain +0.03173 | alpha 0.2000 *
epoch  310 | train_nll -1.30259 | train_fsce 0.48703 | val_dev 0.72235 | expl_dev 0.51156 | gat_gain +0.03007 | alpha 0.2000
epoch  315 | train_nll -1.29287 | train_fsce 0.47354 | val_dev 0.72947 | expl_dev 0.50675 | gat_gain +0.02341 | alpha 0.2000
epoch  320 | train_nll -1.30128 | train_fsce 0.49146 | val_dev 0.71882 | expl_dev 0.51395 | gat_gain +0.02707 | alpha 0.2000
epoch  325 | train_nll -1.29650 | train_fsce 0.48637 | val_dev 0.72379 | expl_dev 0.51059 | gat_gain +0.03338 | alpha 0.2000
epoch  330 | train_nll -1.30195 | train_fsce 0.49245 | val_dev 0.72144 | expl_dev 0.51217 | gat_gain +0.03834 | alpha 0.2000
epoch  335 | train_nll -1.30449 | train_fsce 0.48655 | val_dev 0.70235 | expl_dev 0.52508 | gat_gain +0.02552 | alpha 0.2000 *
epoch  340 | train_nll -1.30316 | train_fsce 0.46405 | val_dev 0.69295 | expl_dev 0.53144 | gat_gain +0.03265 | alpha 0.2000 *
epoch  345 | train_nll -1.30759 | train_fsce 0.48595 | val_dev 0.71323 | expl_dev 0.51773 | gat_gain +0.04059 | alpha 0.2000
epoch  350 | train_nll -1.30262 | train_fsce 0.49212 | val_dev 0.70682 | expl_dev 0.52206 | gat_gain +0.02089 | alpha 0.2000
epoch  355 | train_nll -1.30648 | train_fsce 0.48269 | val_dev 0.72716 | expl_dev 0.50831 | gat_gain +0.03086 | alpha 0.2000
epoch  360 | train_nll -1.30690 | train_fsce 0.50356 | val_dev 0.70845 | expl_dev 0.52096 | gat_gain +0.02998 | alpha 0.2000
epoch  365 | train_nll -1.30483 | train_fsce 0.48461 | val_dev 0.71178 | expl_dev 0.51871 | gat_gain +0.02599 | alpha 0.2000
epoch  370 | train_nll -1.31170 | train_fsce 0.48533 | val_dev 0.71039 | expl_dev 0.51965 | gat_gain +0.02786 | alpha 0.2000
epoch  375 | train_nll -1.30709 | train_fsce 0.48068 | val_dev 0.70248 | expl_dev 0.52499 | gat_gain +0.01815 | alpha 0.2000
epoch  380 | train_nll -1.30816 | train_fsce 0.50305 | val_dev 0.70457 | expl_dev 0.52359 | gat_gain +0.03977 | alpha 0.2000
epoch  385 | train_nll -1.30847 | train_fsce 0.47217 | val_dev 0.71009 | expl_dev 0.51985 | gat_gain +0.02387 | alpha 0.2000
epoch  390 | train_nll -1.30751 | train_fsce 0.46304 | val_dev 0.70968 | expl_dev 0.52013 | gat_gain +0.02830 | alpha 0.2000
epoch  395 | train_nll -1.30612 | train_fsce 0.47246 | val_dev 0.69850 | expl_dev 0.52769 | gat_gain +0.02464 | alpha 0.2000
epoch  400 | train_nll -1.31294 | train_fsce 0.48330 | val_dev 0.71402 | expl_dev 0.51719 | gat_gain +0.02888 | alpha 0.2000
epoch  405 | train_nll -1.31081 | train_fsce 0.45215 | val_dev 0.69998 | expl_dev 0.52669 | gat_gain +0.01855 | alpha 0.2000
epoch  410 | train_nll -1.31462 | train_fsce 0.47812 | val_dev 0.69954 | expl_dev 0.52699 | gat_gain +0.02432 | alpha 0.2000
epoch  415 | train_nll -1.30901 | train_fsce 0.49469 | val_dev 0.69471 | expl_dev 0.53025 | gat_gain +0.01999 | alpha 0.2000
epoch  420 | train_nll -1.31300 | train_fsce 0.48489 | val_dev 0.69869 | expl_dev 0.52756 | gat_gain +0.02729 | alpha 0.2000
epoch  425 | train_nll -1.31567 | train_fsce 0.46903 | val_dev 0.68702 | expl_dev 0.53545 | gat_gain +0.01641 | alpha 0.2000 *
epoch  430 | train_nll -1.30515 | train_fsce 0.47733 | val_dev 0.70206 | expl_dev 0.52528 | gat_gain +0.01524 | alpha 0.2000
epoch  435 | train_nll -1.31788 | train_fsce 0.46561 | val_dev 0.69718 | expl_dev 0.52858 | gat_gain +0.01853 | alpha 0.2000
epoch  440 | train_nll -1.31571 | train_fsce 0.47202 | val_dev 0.70276 | expl_dev 0.52481 | gat_gain +0.02551 | alpha 0.2000
epoch  445 | train_nll -1.31451 | train_fsce 0.48106 | val_dev 0.71793 | expl_dev 0.51455 | gat_gain +0.01231 | alpha 0.2000
epoch  450 | train_nll -1.31424 | train_fsce 0.49497 | val_dev 0.68385 | expl_dev 0.53759 | gat_gain +0.02582 | alpha 0.2000 *
epoch  455 | train_nll -1.31488 | train_fsce 0.49642 | val_dev 0.70713 | expl_dev 0.52185 | gat_gain +0.02276 | alpha 0.2000
epoch  460 | train_nll -1.31382 | train_fsce 0.47966 | val_dev 0.71491 | expl_dev 0.51659 | gat_gain +0.01135 | alpha 0.2000
epoch  465 | train_nll -1.31604 | train_fsce 0.48364 | val_dev 0.68617 | expl_dev 0.53602 | gat_gain +0.02735 | alpha 0.2000
epoch  470 | train_nll -1.31922 | train_fsce 0.47559 | val_dev 0.70618 | expl_dev 0.52250 | gat_gain +0.02061 | alpha 0.2000
epoch  475 | train_nll -1.32242 | train_fsce 0.47562 | val_dev 0.69605 | expl_dev 0.52935 | gat_gain +0.01928 | alpha 0.2000
epoch  480 | train_nll -1.31559 | train_fsce 0.46762 | val_dev 0.69282 | expl_dev 0.53153 | gat_gain +0.02941 | alpha 0.2000
epoch  485 | train_nll -1.31270 | train_fsce 0.48857 | val_dev 0.69854 | expl_dev 0.52766 | gat_gain +0.02610 | alpha 0.2000
epoch  490 | train_nll -1.31217 | train_fsce 0.48165 | val_dev 0.69152 | expl_dev 0.53241 | gat_gain +0.02021 | alpha 0.2000
epoch  495 | train_nll -1.32184 | train_fsce 0.47526 | val_dev 0.67643 | expl_dev 0.54261 | gat_gain +0.01778 | alpha 0.2000 *
epoch  500 | train_nll -1.32110 | train_fsce 0.48218 | val_dev 0.68616 | expl_dev 0.53603 | gat_gain +0.02337 | alpha 0.2000
epoch  505 | train_nll -1.31779 | train_fsce 0.47358 | val_dev 0.68333 | expl_dev 0.53795 | gat_gain +0.01798 | alpha 0.2000
epoch  510 | train_nll -1.31871 | train_fsce 0.47895 | val_dev 0.67711 | expl_dev 0.54215 | gat_gain +0.02187 | alpha 0.2000
epoch  515 | train_nll -1.31364 | train_fsce 0.47922 | val_dev 0.72308 | expl_dev 0.51107 | gat_gain +0.00968 | alpha 0.2000
epoch  520 | train_nll -1.32209 | train_fsce 0.48618 | val_dev 0.71594 | expl_dev 0.51590 | gat_gain +0.01328 | alpha 0.2000
epoch  525 | train_nll -1.32139 | train_fsce 0.46522 | val_dev 0.71165 | expl_dev 0.51879 | gat_gain +0.01287 | alpha 0.2000
epoch  530 | train_nll -1.32565 | train_fsce 0.49554 | val_dev 0.69233 | expl_dev 0.53186 | gat_gain +0.01617 | alpha 0.2000
epoch  535 | train_nll -1.32720 | train_fsce 0.48103 | val_dev 0.69634 | expl_dev 0.52915 | gat_gain +0.00724 | alpha 0.2000
epoch  540 | train_nll -1.32087 | train_fsce 0.47746 | val_dev 0.69829 | expl_dev 0.52783 | gat_gain +0.00852 | alpha 0.2000
epoch  545 | train_nll -1.31404 | train_fsce 0.49030 | val_dev 0.71009 | expl_dev 0.51985 | gat_gain +0.02409 | alpha 0.2000
epoch  550 | train_nll -1.33192 | train_fsce 0.46977 | val_dev 0.68921 | expl_dev 0.53397 | gat_gain +0.01228 | alpha 0.2000
epoch  555 | train_nll -1.32812 | train_fsce 0.48701 | val_dev 0.69609 | expl_dev 0.52932 | gat_gain +0.01658 | alpha 0.2000
