[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.5
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 38173（GAT 分支 11537，lr x0.2）
epoch  290 | train_nll -1.30407 | train_fsce 0.57972 | val_dev 0.74850 | expl_dev 0.49388 | gat_gain +0.04369 | alpha 0.5000
epoch  295 | train_nll -1.30285 | train_fsce 0.56056 | val_dev 0.76791 | expl_dev 0.48075 | gat_gain +0.02929 | alpha 0.5000
epoch  300 | train_nll -1.29967 | train_fsce 0.55731 | val_dev 0.74135 | expl_dev 0.49872 | gat_gain +0.03824 | alpha 0.5000
epoch  305 | train_nll -1.29438 | train_fsce 0.54698 | val_dev 0.74968 | expl_dev 0.49308 | gat_gain +0.05413 | alpha 0.5000
epoch  310 | train_nll -1.30280 | train_fsce 0.55746 | val_dev 0.74265 | expl_dev 0.49783 | gat_gain +0.04469 | alpha 0.5000
epoch  315 | train_nll -1.30369 | train_fsce 0.53731 | val_dev 0.72795 | expl_dev 0.50778 | gat_gain +0.05501 | alpha 0.5000 *
epoch  320 | train_nll -1.30391 | train_fsce 0.55507 | val_dev 0.72568 | expl_dev 0.50931 | gat_gain +0.04213 | alpha 0.5000 *
epoch  325 | train_nll -1.30348 | train_fsce 0.53980 | val_dev 0.76259 | expl_dev 0.48435 | gat_gain +0.04311 | alpha 0.5000
epoch  330 | train_nll -1.30275 | train_fsce 0.55168 | val_dev 0.74024 | expl_dev 0.49947 | gat_gain +0.04664 | alpha 0.5000
epoch  335 | train_nll -1.30287 | train_fsce 0.53746 | val_dev 0.74342 | expl_dev 0.49731 | gat_gain +0.03483 | alpha 0.5000
